,Urban Fantasy,Academic,Detective,Chick Lit,Young Adult,Womens Fiction,Paranormal Romance,Memoir,Thriller,Realistic Fiction,Dystopia,Science Fiction,Paranormal,Adventure,Fantasy,Novels,Historical,Fiction,Crime,Adult,Mystery,Nonfiction,Magic,Philosophy,Romance,Middle Grade,Suspense,History,War,Classics,Christian,Childrens,Autobiography,Psychology,Religion,Contemporary,Literature,Biography,Teen,European Literature,Contemporary Romance,Vampires,Adult Fiction,Humor,Mystery Thriller,Short Stories,Cultural,Historical Fiction,New Adult,Horror,year,female_to_male_ratio
78,,0.0,0.6370370370370371,,inf,,,0.7014285714285713,0.5747474747474747,inf,0.0,0.9885416666666668,0.0,0.8395833333333333,inf,0.6405085843861354,0.9612445755302899,inf,inf,,inf,0.6572472848788639,inf,0.0,inf,,1.5999999999999999,0.4762987012987013,1.6296296296296298,inf,,inf,0.7014285714285713,0.5714285714285714,,0.5,0.6341697736787022,0.709920634920635,2.0,0.6980004122861266,0.0,,,1.0333333333333332,0.7333333333333334,0.20833333333333334,0.4717120181405896,0.987084582084582,,inf,1990,
79,,1.4444444444444444,0.41798941798941797,,inf,,,0.8884353741496599,inf,1.2727272727272727,2.0370370370370368,1.294142004627938,0.3401360544217687,0.3429951690821256,1.0317549518081908,1.5301587301587303,inf,inf,0.6760037348272643,,inf,inf,,1.5707264957264957,1.5383801383801385,0.43939393939393934,0.8,0.8683035714285714,0.65,inf,,inf,0.8884353741496599,inf,1.6,inf,1.5870811287477955,0.6982142857142858,1.0444444444444445,inf,1.0,0.5102040816326531,0.8333333333333334,inf,0.5185185185185185,0.8333333333333334,1.8429232804232807,inf,,inf,1991,
80,,,0.4782051282051282,4.0,inf,4.0,,1.0555555555555556,inf,0.6076388888888888,0.3442622950819672,0.5234762505254309,0.9407407407407407,0.6111111111111112,inf,0.9036631287655877,inf,inf,inf,4.0,inf,inf,0.40740740740740744,inf,1.2554232804232803,0.0,inf,inf,0.5580808080808081,inf,0.3333333333333333,inf,1.0555555555555556,0.4,0.4,0.0,inf,0.4444444444444444,,inf,,0.8,4.0,0.4831168831168831,inf,0.38461538461538464,inf,inf,,inf,1992,
81,,inf,0.5397792022792023,,0.7195489135345584,,0.25,inf,1.2359172077922078,,1.3666666666666667,0.777106227106227,0.625,0.375,0.8002193458715199,inf,0.6859562341417179,inf,inf,,inf,inf,,1.1048951048951048,1.0169559052448252,0.3,1.4880952380952381,0.8875675675675676,0.9084568439407149,inf,1.0,0.39,inf,0.9,inf,1.0433333333333334,inf,1.260960960960961,0.5,inf,0.25,1.0,,inf,1.6694444444444445,inf,inf,0.6735252714515386,,1.011111111111111,1993,
82,0.8,0.5484039769754055,0.4136904761904762,,0.9084868813357184,,2.0,0.575268817204301,0.7938852813852815,1.4,0.6666666666666666,0.982389541982565,inf,0.05555555555555555,inf,inf,0.8630904685592186,inf,inf,0.34065934065934067,inf,inf,0.3333333333333333,inf,0.7430839002267572,,0.6039682539682539,inf,0.8706012134583563,inf,1.1666666666666667,inf,1.1451612903225805,inf,1.6666666666666667,0.8243902439024391,inf,1.4543010752688172,1.6666666666666667,inf,,0.8333333333333334,,0.6968837535014006,1.3777777777777778,inf,inf,0.8664257369614514,,inf,1994,
83,,0.7899529042386185,inf,0.6862745098039215,0.8954636795429634,0.6862745098039215,1.125,1.639915966386555,inf,0.25,0.5230429292929293,0.6716169632836299,1.125,1.1995405179615706,1.4615626309174699,0.7167995746943115,inf,inf,inf,1.462962962962963,inf,inf,,inf,1.0340015545860286,,inf,inf,0.7776950009508149,inf,1.077777777777778,1.1183625730994151,1.639915966386555,1.9732142857142858,1.0398989898989899,0.5493919426056476,0.7142327246575781,1.0495670995670998,0.5833333333333333,inf,1.0,1.25,,3.4092105263157895,inf,inf,0.9591589801176267,inf,,0.816494436574528,1995,
84,,0.8205128205128206,inf,0.7222222222222222,1.0593386011544579,0.7222222222222222,1.0,0.5452380952380952,0.9976122720401898,0.8888664440135028,1.09375,1.1653781114718615,1.0,0.9444444444444443,0.8439270658336147,0.7653578855784737,inf,inf,inf,0.8333333333333333,inf,inf,0.6666666666666666,inf,0.8313852813852813,1.2794117647058822,1.2802380952380952,inf,0.35833333333333334,inf,0.5703703703703703,inf,0.5452380952380952,0.8107142857142857,0.845679012345679,inf,inf,0.45793650793650786,,inf,0.8181818181818181,1.0,0.375,1.0520408163265307,0.9836309523809523,0.8454545454545456,inf,inf,,1.1140851449275364,1996,
85,2.5,0.5904761904761904,0.7105769230769231,0.25,inf,0.25,,inf,0.8321349797156248,inf,,inf,0.5121045621045619,1.0521983530254206,inf,0.49339826839826834,0.7386247662860602,inf,0.9220945075596239,0.3333333333333333,0.8776845466361598,inf,0.6503174603174603,0.9244939271255062,1.0275200989486706,0.554,0.8281179138321996,0.7416666666666667,0.5381469979296066,inf,0.9153846153846155,0.8561909458063303,inf,1.2397435897435896,inf,0.9479084967320262,0.6632539682539684,0.7147484094852514,1.349206349206349,inf,,0.5264481550195835,0.5,inf,0.6544566544566545,inf,0.8910073859299076,0.6812755855965574,,0.7166716324611062,1997,
86,,inf,inf,1.5333333333333334,inf,1.5333333333333334,,0.8335164835164837,inf,0.47006493506493496,0.8869669669669671,inf,2.0,0.595,inf,inf,inf,inf,inf,0.9525641025641025,inf,inf,0.75,0.812091503267974,inf,0.37142857142857144,inf,0.715126050420168,0.6771062271062269,inf,1.2976190476190477,0.7761389814595281,0.8335164835164837,inf,1.1551282051282052,inf,inf,0.8042857142857143,0.5195526695526697,inf,0.4444444444444444,,0.8054421768707484,inf,inf,inf,inf,inf,,inf,1998,
87,1.0,0.5749317019297837,0.6965277777777777,1.1841796547678902,inf,1.1841796547678902,2.0,inf,0.7344202836390337,0.8124999999999999,2.925,inf,1.3000915750915751,0.9204732870208406,inf,0.8026126788065839,inf,inf,inf,0.8333333333333333,inf,inf,inf,inf,inf,0.5175482203221317,1.0056165337415337,inf,inf,inf,1.0022222222222221,0.8558042825297487,inf,inf,inf,1.095230356675332,inf,inf,1.2777777777777777,inf,0.8444444444444446,0.7402197802197802,,inf,0.9891946677660963,0.4874864718614719,inf,inf,,inf,1999,
88,0.5376984126984127,0.45,0.5753377795044462,1.3857142857142857,0.8157487834943917,1.3857142857142857,0.18181818181818182,inf,inf,0.7327380952380952,inf,inf,0.690396023729357,0.49689257103050205,0.7408614879601388,inf,inf,inf,0.7843522345234676,1.8685203685203684,inf,inf,0.6220634920634921,inf,inf,1.0668181818181819,inf,inf,0.3057359307359308,inf,0.4493279569892473,1.0456226702665983,inf,inf,0.675765095119934,0.7975108225108226,inf,inf,0.7261904761904763,0.7719749000999001,0.2,0.3569023569023569,1.8166666666666667,0.7224687349687351,inf,0.6296296296296297,inf,inf,,0.6561507936507937,2000,
89,0.49999999999999994,inf,0.8337781326618128,1.6738528138528137,inf,1.6738528138528137,0.9166666666666666,inf,inf,1.0235042735042734,1.375,inf,inf,1.0376636034530768,inf,0.8429710205922417,inf,inf,inf,1.217857142857143,inf,inf,0.7087301587301588,inf,inf,0.6634920634920635,inf,inf,0.5408902691511387,inf,inf,0.6215090590741792,inf,inf,inf,inf,inf,inf,1.1666666666666667,inf,0.8333333333333334,0.3,2.0,inf,inf,inf,inf,inf,,0.4546321612111086,2001,
90,0.5642857142857143,inf,inf,1.0963712978750575,inf,1.0963712978750575,0.7421679197994987,inf,inf,inf,inf,inf,0.8081983805668016,0.6343532250957062,inf,inf,inf,inf,inf,0.8752705627705627,inf,inf,0.9404761904761906,inf,inf,inf,inf,inf,0.5004820936639119,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.0514285714285716,0.5010964912280702,0.484126984126984,inf,inf,inf,inf,inf,,0.8761918636918636,2002,
91,0.5774886877828054,0.6572496695161368,0.8350437144554793,inf,inf,inf,0.5,0.7615918803418803,inf,inf,inf,inf,1.096938775510204,inf,inf,0.8478326874071554,inf,inf,inf,0.8352370963640986,inf,inf,1.1977248677248677,0.7716658668129257,inf,0.941144296443378,inf,0.6341221576515694,0.5204991087344027,inf,inf,0.8772439652944657,0.7952237305178481,inf,inf,inf,0.8582744014924775,0.6518710933690689,1.0634920634920635,0.7456515731031671,0.9847494553376906,0.5625,1.341736694677871,inf,0.892419100507336,0.871626984126984,inf,inf,,0.7082336091956548,2003,
92,0.9829071735646129,0.8231413892620788,inf,inf,inf,inf,0.92991742151406,inf,inf,0.9422924297924299,inf,inf,0.9212113892299651,inf,inf,inf,inf,inf,inf,0.6366576819407008,inf,inf,0.7896005509641875,0.8369425019425021,inf,0.8490041208791209,inf,0.7796237507348616,0.7481240981240983,inf,inf,inf,inf,inf,1.044295634920635,inf,inf,inf,0.8122855979998836,inf,inf,0.7037373737373737,1.0714285714285714,0.8090555702800599,inf,inf,inf,inf,0.0,inf,2004,
93,0.7358578750204366,1.7986914590902936,inf,inf,inf,inf,inf,inf,inf,inf,1.4345295055821372,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8860512820512819,inf,inf,inf,0.7312980030721967,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.7924963924963925,inf,inf,inf,inf,inf,0.5416666666666667,inf,2005,
94,0.7055591187046106,0.7582004178158025,0.6616221741221742,inf,inf,inf,0.6888227513227512,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.8781432599190349,inf,inf,inf,0.7568044274566014,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9910980514527425,inf,inf,inf,inf,inf,inf,0.6366666666666666,0.6063563706655043,1.168279150043856,inf,0.8045731112412415,inf,inf,inf,,inf,2006,
95,0.7767125840968476,0.794679005205321,inf,inf,inf,inf,0.8264627625808877,inf,inf,inf,0.9170561146170902,inf,0.7849341200868998,inf,inf,inf,inf,inf,inf,0.6952649480844969,inf,inf,inf,1.25,inf,inf,inf,0.4368048665162417,inf,inf,0.7036414565826331,inf,inf,inf,0.9496650834246744,inf,inf,inf,0.8040510999721525,inf,0.5214045214045213,0.7863944847211439,0.9234848484848487,inf,inf,inf,inf,inf,,0.599226719335415,2007,
96,inf,1.0,0.5130952380952382,inf,inf,inf,inf,0.7750992063492065,inf,0.7314904672047529,inf,inf,inf,0.7001882734012582,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.9640211640211641,inf,0.8583333333333334,0.8801862953095466,0.6033549783549783,1.01434928707656,inf,0.7183150183150183,inf,0.7750992063492065,inf,0.8333333333333335,inf,0.6404761904761905,0.8398337112622827,inf,inf,0.6611721611721613,inf,0.6235924569257902,inf,1.0506914716788136,inf,inf,inf,,inf,2008,
97,inf,0.9166666666666667,0.9821428571428571,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.6930264180264182,inf,inf,inf,1.0384059873949578,inf,inf,inf,0.5132867132867133,inf,inf,inf,inf,inf,1.0802469135802468,0.6652151211361739,inf,inf,inf,0.755952380952381,inf,inf,inf,inf,0.6807692307692309,0.8214285714285714,inf,0.7888888888888888,inf,0.9280060713884243,inf,inf,inf,0.75,inf,2009,
98,inf,0.7214285714285714,0.6618647458983593,inf,inf,inf,0.8465988921871275,1.2575757575757573,inf,1.0343958581623056,inf,inf,inf,inf,inf,0.8206393136733694,inf,inf,inf,0.7383241758241758,inf,0.7574447077949973,inf,inf,inf,inf,inf,0.6028828623247832,0.6994871794871795,inf,inf,inf,inf,inf,0.6858379715522573,inf,0.7473000683527,inf,0.8746825396825398,inf,0.7190476190476192,inf,0.7700006783340118,0.8971343150557373,0.9167471243816675,0.8250000000000001,inf,inf,0.5111111111111111,0.8899698745735033,2010,
99,inf,0.2857142857142857,0.3064935064935065,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.6666666666666667,inf,inf,inf,1.2462121212121213,inf,inf,inf,0.45918367346938777,inf,inf,0.9456160991165955,0.8151058201058202,inf,0.885015873015873,inf,inf,inf,inf,inf,inf,0.6583850931677019,0.7568027210884354,0.9180392156862747,0.5750422705314009,0.9688636363636363,inf,inf,0.7118634920634922,0.7657287157287158,,inf,inf,inf,inf,2011,
100,inf,1.22,0.5520833333333334,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.7825385872824204,inf,0.7202380952380952,inf,0.7247023809523808,inf,inf,inf,0.607312925170068,inf,inf,inf,inf,inf,0.531953179594689,inf,inf,inf,inf,inf,0.4125,inf,inf,inf,0.7733373028355728,2012,
101,inf,inf,0.8649122807017544,0.7138392857142857,inf,0.7138392857142857,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.7916666666666666,inf,inf,inf,1.3081723027375205,inf,inf,1.1116567460317461,0.7333333333333333,inf,inf,inf,inf,1.044227377560711,0.9642857142857144,0.7857142857142857,inf,inf,0.6039682539682539,0.9291666666666667,inf,inf,inf,0.7298474945533769,inf,inf,inf,1.0123305728088337,1.0356328320802004,inf,0.963888888888889,inf,inf,inf,inf,2013,
102,0.6813131313131313,,0.5476190476190476,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.3645833333333333,inf,inf,inf,inf,inf,inf,inf,0.3636363636363636,inf,inf,inf,0.5687295751633987,0.6766917293233082,0.3443813131313131,inf,inf,inf,1.05,1.2,inf,0.46022727272727276,inf,0.33333333333333337,0.29475881261595543,inf,0.8961840628507295,0.7517473926142656,1.0396825396825398,inf,inf,inf,inf,inf,inf,2014,
103,0.8036601307189543,0.8611111111111112,0.75,0.875,inf,0.9166666666666666,0.8333333333333333,inf,inf,1.025,0.5484715460646944,0.8620440329724823,inf,inf,inf,1.6,inf,inf,inf,inf,inf,inf,0.6765811965811965,0.8666666666666667,inf,1.3333333333333333,inf,,0.7999999999999999,0.7011494252873564,1.1252525252525254,1.4000000000000001,inf,2.1666666666666665,0.7000000000000001,inf,0.875,3.0,0.8333333333333334,1.5,inf,0.6666666666666666,0.7666666666666666,0.5375,inf,0.375,inf,inf,0.6916666666666668,0.41666666666666663,2015,
104,,0.6,,,inf,,0.5,1.125,inf,0.4464285714285714,0.9008376484922326,0.8955319773017,0.61875,0.56875,inf,0.8,0.8878663003663004,inf,inf,1.111111111111111,inf,inf,inf,1.0,inf,,inf,0.35714285714285715,0.6569368131868132,0.5138888888888888,inf,0.5,1.125,0.7333333333333334,0.25,inf,1.222222222222222,1.5,0.6651785714285714,,1.0,0.5,2.0,0.3875,inf,0.6,0.7627551020408162,0.8878663003663004,1.1535714285714285,1.0,2016,
105,,0.5,,0.2857142857142857,1.0006535947712418,0.2857142857142857,,5.0,0.7962962962962963,0.3333333333333333,0.4,0.7,1.5,0.75,1.1264957264957265,0.5,inf,inf,1.4166666666666665,inf,0.7013888888888888,1.3333333333333333,1.5,1.0,1.0331065759637188,,0.611111111111111,1.5,,0.8,1.0,1.0888888888888888,5.0,,1.0,0.5520833333333333,2.75,3.25,,,0.3333333333333333,,inf,0.3333333333333333,0.9583333333333333,,0.5833333333333334,inf,1.630952380952381,0.0,2017,
